episode_url,type,title,transcript_url,local_filename
https://www.thegreatsimplification.com/episode/rr03-erickson-farley-raworth-keen,interview,"“Unlearning Economics”: Jon Erickson, Josh Farley, Steve Keen, and Kate Raworth",https://www.thegreatsimplification.com/wp-content/uploads/2023/08/RR03EricksonFarleyRaworthKeenTranscript.docx.pdf,RR03EricksonFarleyRaworthKeenTranscript.docx.pdf
https://www.thegreatsimplification.com/episode/rr04-pauly-turiel-ward,interview,"“Titanic Oceans”: Daniel Pauly, Antonio Turiel, Peter Ward",https://www.thegreatsimplification.com/wp-content/uploads/2023/09/RR04PaulyTurielWard.docx.pdf,RR04PaulyTurielWard.docx.pdf
https://www.thegreatsimplification.com/episode/rr05-hine-smaje-thiel,interview,"Food & Community in the Ruins: Dougald Hine, Chris Smaje, Pella Thiel",https://www.thegreatsimplification.com/wp-content/uploads/2023/10/RR05Transcript.docx.pdf,RR05Transcript.docx.pdf
https://www.thegreatsimplification.com/episode/rr06-bradford-millison-shiva-zetah,interview,"Fossil Free Food Systems: Jason Bradford, Andrew Millison, Vandana Shiva, Daniel Zetah",https://www.thegreatsimplification.com/wp-content/uploads/2023/11/RR06BradfordMillisonShivaZetahTranscript.docx.pdf,RR06BradfordMillisonShivaZetahTranscript.docx.pdf
https://www.thegreatsimplification.com/episode/rr07-hoopes-kilde-perry-sulamoyo,interview,"Stephanie Hoopes, Peter Kilde, Marc Perry, Dalitso Sulamoyo: “Poverty Blind”",https://www.thegreatsimplification.com/wp-content/uploads/2023/12/RR07HoopesKildePerryandSulamoyoTranscript.docx.pdf,RR07HoopesKildePerryandSulamoyoTranscript.docx.pdf
https://www.thegreatsimplification.com/episode/126-daniel-schmachtenberger-7,interview,Daniel Schmachtenberger: “Moving from Naive to Authentic Progress: A Vision for Betterment”,https://www.thegreatsimplification.com/wp-content/uploads/2024/06/TGS126DanielSchmachtenbergerTranscript.pdf,TGS126DanielSchmachtenbergerTranscript.pdf
https://www.thegreatsimplification.com/episode/107-mario-giampietro,interview,Mario Giampietro: “Models with Meaning – Changing Social Practices”,https://www.thegreatsimplification.com/wp-content/uploads/2024/01/TGS107MarioGiampietroTranscript.docx.pdf,TGS107MarioGiampietroTranscript.docx.pdf
https://www.thegreatsimplification.com/episode/185-josh-farley,interview,Josh Farley — The Myths Shaping Our Economies: The Disconnect between Economic Theory and Reality,https://www.thegreatsimplification.com/wp-content/uploads/2025/07/TGS-185-Josh-Farley-Transcript.pdf,TGS-185-Josh-Farley-Transcript.pdf
https://www.thegreatsimplification.com/episode/186-wes-carter,interview,Wes Carter — The Packaging Revolution: Industry’s Responsibility & the Innovations That Could Mitigate the Waste Crisis,https://www.thegreatsimplification.com/wp-content/uploads/2025/07/TGS-186-Wes-Carter-Transcript.pdf,TGS-186-Wes-Carter-Transcript.pdf
https://www.thegreatsimplification.com/episode/188-lyn-alden,interview,Nothing Can Stop This Train: Our Financial Predicament From a Systems Perspective,https://www.thegreatsimplification.com/wp-content/uploads/2025/07/TGS-188-Lyn-Alden-Transcript.pdf,TGS-188-Lyn-Alden-Transcript.pdf
https://www.thegreatsimplification.com/episode/187-earth-day-2025,interview,Towards Individual Wisdom and Restraint,https://www.thegreatsimplification.com/wp-content/uploads/2025/07/TGS-187-Earth-Day-2025-Transcript.pdf,TGS-187-Earth-Day-2025-Transcript.pdf
https://www.thegreatsimplification.com/episode/189-oliver-milman,interview,The Silent Collapse: What the Disappearance of Insects Means for Humanity and the Earth,https://www.thegreatsimplification.com/wp-content/uploads/2025/08/TGS-189-Oliver-Milman-Transcript.pdf,TGS-189-Oliver-Milman-Transcript.pdf
